Airport;foundation;15.01.2021;1000;1300
Sports palace;floors;16.02.2022;1000;1300
sports palace;floors;17.03.2023;1000;1300
sports palace;floors;18.04.2025;1000;1300
sports palace;foundation;19.05.2020;1000;1300
Airport;foundation;20.01.2022;1000;1300
Airport;floors;21.03.2021;1000;1300
Airport;facing;22.04.2023;1000;1300
TETRA;facing;23.07.2021;1000;1300
TETRA;foundation;24.07.2022;1000;1300
TETRA;foundation;25.06.2023;1000;1300
Quartet;foundation;26.04.2025;1000;1300
Quartet;foundation;27.02.2021;1000;1300
Quartet;floors;28.01.2020;1000;1300
Quartet;floors;25.02.2023;1000;1300
Quartet;facing;30.01.2023;1000;1300
Airport;foundation;15.01.2023;1000;1300
Sports palace;floors;16.01.2024;1000;1300
sports palace;floors;17.04.2024;1000;1300
sports palace;floors;18.04.2023;1000;1300
sports palace;foundation;19.05.2023;1000;1300
Airport;foundation;20.01.2023;1000;1300
Airport;floors;21.03.2023;1000;1300
Airport;facing;22.01.2023;1000;1300
TETRA;facing;23.07.2023;1000;1300
TETRA;foundation;24.04.2023;1000;1300
TETRA;foundation;25.06.2023;1000;1300
Quartet;foundation;26.04.2023;1000;1300
Quartet;foundation;27.03.2021;1000;1300
Quartet;floors;28.01.2023;1000;1300
Quartet;floors;23.02.2024;1000;1300
Quartet;facing;30.01.2023;1000;1300
Quartet;floors;25.02.2023;1000;1300
Quartet;facing;30.01.2023;1000;1300
Airport;foundation;15.01.2023;1000;1300
Sports palace;floors;16.01.2024;1000;1300
sports palace;floors;17.04.2024;1000;1300
sports palace;floors;18.04.2023;1000;1300
sports palace;foundation;19.05.2023;1000;1300
Airport;foundation;20.01.2023;1000;1300
Airport;floors;21.03.2023;1000;1300
Airport;facing;22.01.2023;1000;1300
TETRA;facing;23.07.2023;1000;1300
TETRA;foundation;24.04.2023;1000;1300
TETRA;foundation;25.06.2023;1000;1300
Quartet;foundation;26.04.2023;1000;1300
Quartet;foundation;27.03.2021;1000;1300
Quartet;floors;28.01.2023;1000;1300
Quartet;floors;23.02.2024;1000;1300
Quartet;facing;30.01.2023;1000;1300
